# Partition Function for NO2 isotopologue 1: ^{14}N^{16}O_{2}
# Temperature range: 160-320 K
#T,K     Q(T)
160 5245.58870
161 5295.12540
162 5344.82920
163 5394.70020
164 5444.73820
165 5494.94310
166 5545.31500
167 5595.85370
168 5646.55910
169 5697.43140
170 5748.47040
171 5799.67610
172 5851.04850
173 5902.58760
174 5954.29340
175 6006.16590
176 6058.20520
177 6110.41130
178 6162.78410
179 6215.32390
180 6268.03060
181 6320.90420
182 6373.94490
183 6427.15270
184 6480.52780
185 6534.07010
186 6587.77990
187 6641.65710
188 6695.70190
189 6749.91450
190 6804.29500
191 6858.84340
192 6913.56000
193 6968.44490
194 7023.49810
195 7078.72000
196 7134.11060
197 7189.67010
198 7245.39870
199 7301.29660
200 7357.36400
201 7413.60100
202 7470.00790
203 7526.58480
204 7583.33200
205 7640.24970
206 7697.33810
207 7754.59740
208 7812.02790
209 7869.62980
210 7927.40340
211 7985.34890
212 8043.46650
213 8101.75650
214 8160.21920
215 8218.85490
216 8277.66380
217 8336.64610
218 8395.80220
219 8455.13240
220 8514.63700
221 8574.31620
222 8634.17040
223 8694.19980
224 8754.40480
225 8814.78560
226 8875.34270
227 8936.07630
228 8996.98670
229 9058.07430
230 9119.33950
231 9180.78240
232 9242.40360
233 9304.20340
234 9366.18200
235 9428.33990
236 9490.67740
237 9553.19490
238 9615.89270
239 9678.77120
240 9741.83090
241 9805.07190
242 9868.49490
243 9932.10000
244 9995.88780
245 10059.85900
246 10124.01300
247 10188.35100
248 10252.87300
249 10317.58000
250 10382.47200
251 10447.54900
252 10512.81200
253 10578.26200
254 10643.89800
255 10709.72100
256 10775.73200
257 10841.93100
258 10908.31800
259 10974.89400
260 11041.65900
261 11108.61400
262 11175.75900
263 11243.09500
264 11310.62200
265 11378.34100
266 11446.25100
267 11514.35400
268 11582.65000
269 11651.14000
270 11719.82300
271 11788.70100
272 11857.77300
273 11927.04100
274 11996.50400
275 12066.16400
276 12136.02000
277 12206.07400
278 12276.32500
279 12346.77500
280 12417.42300
281 12488.27100
282 12559.31800
283 12630.56600
284 12702.01400
285 12773.66400
286 12845.51500
287 12917.56900
288 12989.82500
289 13062.28500
290 13134.94800
291 13207.81600
292 13280.88900
293 13354.16700
294 13427.65100
295 13501.34200
296 13575.23900
297 13649.34400
298 13723.65800
299 13798.17900
300 13872.91000
301 13947.85100
302 14023.00200
303 14098.36400
304 14173.93700
305 14249.72200
306 14325.72000
307 14401.93100
308 14478.35500
309 14554.99400
310 14631.84700
311 14708.91500
312 14786.20000
313 14863.70100
314 14941.41900
315 15019.35400
316 15097.50800
317 15175.88000
318 15254.47200
319 15333.28400
320 15412.31600
