# Partition Function for H2O isotopologue 1: H2^16O
# Temperature range: 160-320 K
#T,K     Q(T)
160 70.03401
161 70.68080
162 71.32960
163 71.98039
164 72.63318
165 73.28795
166 73.94470
167 74.60343
168 75.26412
169 75.92678
170 76.59140
171 77.25797
172 77.92648
173 78.59694
174 79.26933
175 79.94366
176 80.61991
177 81.29808
178 81.97817
179 82.66017
180 83.34408
181 84.02988
182 84.71758
183 85.40718
184 86.09866
185 86.79202
186 87.48726
187 88.18437
188 88.88335
189 89.58419
190 90.28689
191 90.99145
192 91.69785
193 92.40610
194 93.11619
195 93.82812
196 94.54188
197 95.25746
198 95.97487
199 96.69410
200 97.41515
201 98.13800
202 98.86266
203 99.58913
204 100.31740
205 101.04746
206 101.77931
207 102.51294
208 103.24837
209 103.98557
210 104.72454
211 105.46529
212 106.20781
213 106.95209
214 107.69813
215 108.44593
216 109.19549
217 109.94679
218 110.69984
219 111.45464
220 112.21117
221 112.96944
222 113.72944
223 114.49117
224 115.25463
225 116.01981
226 116.78671
227 117.55533
228 118.32566
229 119.09770
230 119.87145
231 120.64690
232 121.42406
233 122.20291
234 122.98345
235 123.76569
236 124.54961
237 125.33523
238 126.12252
239 126.91150
240 127.70215
241 128.49447
242 129.28847
243 130.08414
244 130.88147
245 131.68047
246 132.48113
247 133.28345
248 134.08742
249 134.89305
250 135.70032
251 136.50925
252 137.31982
253 138.13203
254 138.94589
255 139.76138
256 140.57851
257 141.39727
258 142.21767
259 143.03969
260 143.86334
261 144.68862
262 145.51551
263 146.34403
264 147.17417
265 148.00592
266 148.83928
267 149.67426
268 150.51085
269 151.34904
270 152.18884
271 153.03025
272 153.87325
273 154.71786
274 155.56406
275 156.41186
276 157.26125
277 158.11224
278 158.96482
279 159.81898
280 160.67474
281 161.53208
282 162.39100
283 163.25150
284 164.11359
285 164.97725
286 165.84249
287 166.70931
288 167.57770
289 168.44766
290 169.31919
291 170.19230
292 171.06697
293 171.94321
294 172.82101
295 173.70038
296 174.58130
297 175.46380
298 176.34785
299 177.23345
300 178.12062
301 179.00934
302 179.89962
303 180.79145
304 181.68483
305 182.57977
306 183.47625
307 184.37428
308 185.27386
309 186.17499
310 187.07766
311 187.98188
312 188.88764
313 189.79495
314 190.70379
315 191.61418
316 192.52610
317 193.43957
318 194.35457
319 195.27111
320 196.18918
