# Partition Function for H2O isotopologue 3: H_{2}^{17}O
# Temperature range: 160-320 K
#T,K     Q(T)
160 422.05658
161 425.95464
162 429.86476
163 433.78692
164 437.72109
165 441.66722
166 445.62529
167 449.59526
168 453.57709
169 457.57075
170 461.57622
171 465.59345
172 469.62242
173 473.66309
174 477.71543
175 481.77942
176 485.85501
177 489.94218
178 494.04090
179 498.15113
180 502.27285
181 506.40603
182 510.55064
183 514.70664
184 518.87402
185 523.05273
186 527.24276
187 531.44408
188 535.65665
189 539.88045
190 544.11545
191 548.36163
192 552.61895
193 556.88739
194 561.16693
195 565.45754
196 569.75919
197 574.07186
198 578.39552
199 582.73014
200 587.07570
201 591.43218
202 595.79956
203 600.17779
204 604.56688
205 608.96678
206 613.37748
207 617.79894
208 622.23116
209 626.67411
210 631.12775
211 635.59208
212 640.06706
213 644.55268
214 649.04892
215 653.55574
216 658.07314
217 662.60108
218 667.13955
219 671.68853
220 676.24800
221 680.81793
222 685.39830
223 689.98910
224 694.59031
225 699.20190
226 703.82385
227 708.45615
228 713.09878
229 717.75172
230 722.41494
231 727.08844
232 731.77219
233 736.46617
234 741.17036
235 745.88475
236 750.60933
237 755.34406
238 760.08894
239 764.84395
240 769.60907
241 774.38428
242 779.16957
243 783.96492
244 788.77031
245 793.58574
246 798.41117
247 803.24660
248 808.09201
249 812.94739
250 817.81272
251 822.68798
252 827.57317
253 832.46826
254 837.37323
255 842.28809
256 847.21281
257 852.14737
258 857.09178
259 862.04600
260 867.01002
261 871.98384
262 876.96744
263 881.96081
264 886.96393
265 891.97680
266 896.99939
267 902.03170
268 907.07371
269 912.12541
270 917.18680
271 922.25785
272 927.33855
273 932.42890
274 937.52889
275 942.63850
276 947.75771
277 952.88653
278 958.02494
279 963.17292
280 968.33047
281 973.49758
282 978.67424
283 983.86044
284 989.05616
285 994.26140
286 999.47615
287 1004.70039
288 1009.93413
289 1015.17734
290 1020.43003
291 1025.69218
292 1030.96378
293 1036.24483
294 1041.53531
295 1046.83522
296 1052.14455
297 1057.46330
298 1062.79144
299 1068.12898
300 1073.47591
301 1078.83222
302 1084.19791
303 1089.57295
304 1094.95736
305 1100.35112
306 1105.75423
307 1111.16667
308 1116.58844
309 1122.01954
310 1127.45995
311 1132.90968
312 1138.36872
313 1143.83705
314 1149.31468
315 1154.80160
316 1160.29780
317 1165.80327
318 1171.31802
319 1176.84203
320 1182.37531
