# Partition Function for OH isotopologue 1: ^{16}OH
# Temperature range: 160-320 K
#T,K     Q(T)
160 42.73326
161 42.99425
162 43.25561
163 43.51733
164 43.77942
165 44.04186
166 44.30464
167 44.56778
168 44.83125
169 45.09506
170 45.35920
171 45.62367
172 45.88846
173 46.15358
174 46.41900
175 46.68474
176 46.95079
177 47.21714
178 47.48379
179 47.75073
180 48.01797
181 48.28550
182 48.55331
183 48.82140
184 49.08977
185 49.35842
186 49.62734
187 49.89652
188 50.16597
189 50.43568
190 50.70565
191 50.97588
192 51.24636
193 51.51709
194 51.78806
195 52.05928
196 52.33074
197 52.60244
198 52.87438
199 53.14654
200 53.41894
201 53.69156
202 53.96441
203 54.23748
204 54.51077
205 54.78428
206 55.05801
207 55.33194
208 55.60609
209 55.88044
210 56.15500
211 56.42976
212 56.70473
213 56.97989
214 57.25525
215 57.53080
216 57.80655
217 58.08249
218 58.35861
219 58.63493
220 58.91142
221 59.18810
222 59.46496
223 59.74200
224 60.01921
225 60.29661
226 60.57417
227 60.85190
228 61.12981
229 61.40788
230 61.68612
231 61.96452
232 62.24309
233 62.52182
234 62.80070
235 63.07975
236 63.35895
237 63.63831
238 63.91782
239 64.19748
240 64.47729
241 64.75725
242 65.03736
243 65.31761
244 65.59801
245 65.87855
246 66.15923
247 66.44006
248 66.72102
249 67.00212
250 67.28336
251 67.56473
252 67.84624
253 68.12787
254 68.40964
255 68.69154
256 68.97357
257 69.25573
258 69.53801
259 69.82042
260 70.10295
261 70.38561
262 70.66839
263 70.95129
264 71.23431
265 71.51744
266 71.80070
267 72.08407
268 72.36756
269 72.65116
270 72.93488
271 73.21870
272 73.50264
273 73.78669
274 74.07085
275 74.35512
276 74.63950
277 74.92398
278 75.20857
279 75.49326
280 75.77806
281 76.06296
282 76.34796
283 76.63307
284 76.91827
285 77.20358
286 77.48898
287 77.77448
288 78.06008
289 78.34577
290 78.63156
291 78.91745
292 79.20343
293 79.48950
294 79.77567
295 80.06192
296 80.34827
297 80.63471
298 80.92124
299 81.20785
300 81.49456
301 81.78135
302 82.06823
303 82.35519
304 82.64224
305 82.92938
306 83.21660
307 83.50390
308 83.79129
309 84.07875
310 84.36630
311 84.65393
312 84.94164
313 85.22943
314 85.51730
315 85.80524
316 86.09326
317 86.38137
318 86.66954
319 86.95780
320 87.24613
