# Partition Function for H2O isotopologue 4: HD^16O
# Temperature range: 160-320 K
#T,K     Q(T)
160 345.32967
161 348.53789
162 351.75608
163 354.98424
164 358.22232
165 361.47030
166 364.72816
167 367.99585
168 371.27336
169 374.56066
170 377.85772
171 381.16452
172 384.48102
173 387.80721
174 391.14305
175 394.48853
176 397.84361
177 401.20827
178 404.58249
179 407.96624
180 411.35950
181 414.76224
182 418.17444
183 421.59608
184 425.02713
185 428.46756
186 431.91737
187 435.37652
188 438.84499
189 442.32277
190 445.80982
191 449.30612
192 452.81167
193 456.32642
194 459.85037
195 463.38350
196 466.92577
197 470.47718
198 474.03770
199 477.60731
200 481.18599
201 484.77372
202 488.37049
203 491.97628
204 495.59106
205 499.21482
206 502.84753
207 506.48919
208 510.13977
209 513.79926
210 517.46764
211 521.14489
212 524.83099
213 528.52593
214 532.22968
215 535.94225
216 539.66360
217 543.39372
218 547.13260
219 550.88022
220 554.63656
221 558.40161
222 562.17536
223 565.95779
224 569.74888
225 573.54862
226 577.35700
227 581.17400
228 584.99961
229 588.83381
230 592.67659
231 596.52794
232 600.38785
233 604.25629
234 608.13327
235 612.01876
236 615.91275
237 619.81523
238 623.72620
239 627.64563
240 631.57351
241 635.50984
242 639.45460
243 643.40778
244 647.36937
245 651.33936
246 655.31774
247 659.30450
248 663.29963
249 667.30311
250 671.31494
251 675.33510
252 679.36360
253 683.40041
254 687.44553
255 691.49895
256 695.56066
257 699.63065
258 703.70892
259 707.79545
260 711.89023
261 715.99327
262 720.10454
263 724.22404
264 728.35177
265 732.48772
266 736.63187
267 740.78423
268 744.94477
269 749.11351
270 753.29043
271 757.47552
272 761.66877
273 765.87019
274 770.07976
275 774.29748
276 778.52334
277 782.75734
278 786.99947
279 791.24972
280 795.50810
281 799.77458
282 804.04918
283 808.33188
284 812.62268
285 816.92157
286 821.22855
287 825.54362
288 829.86677
289 834.19800
290 838.53730
291 842.88466
292 847.24010
293 851.60359
294 855.97514
295 860.35474
296 864.74240
297 869.13810
298 873.54185
299 877.95363
300 882.37346
301 886.80132
302 891.23722
303 895.68115
304 900.13310
305 904.59308
306 909.06109
307 913.53712
308 918.02116
309 922.51323
310 927.01331
311 931.52141
312 936.03752
313 940.56165
314 945.09378
315 949.63393
316 954.18208
317 958.73824
318 963.30241
319 967.87459
320 972.45477
