# Partition Function for H2O isotopologue 5: HD^{18}O
# Temperature range: 160-320 K
#T,K     Q(T)
160 349.63029
161 352.87877
162 356.13735
163 359.40602
164 362.68474
165 365.97348
166 369.27222
167 372.58092
168 375.89957
169 379.22812
170 382.56657
171 385.91487
172 389.27300
173 392.64094
174 396.01865
175 399.40612
176 402.80332
177 406.21021
178 409.62679
179 413.05302
180 416.48887
181 419.93433
182 423.38937
183 426.85396
184 430.32808
185 433.81171
186 437.30483
187 440.80741
188 444.31943
189 447.84087
190 451.37171
191 454.91191
192 458.46147
193 462.02036
194 465.58856
195 469.16605
196 472.75281
197 476.34881
198 479.95404
199 483.56848
200 487.19210
201 490.82489
202 494.46683
203 498.11790
204 501.77808
205 505.44735
206 509.12569
207 512.81309
208 516.50952
209 520.21498
210 523.92943
211 527.65286
212 531.38527
213 535.12662
214 538.87690
215 542.63610
216 546.40420
217 550.18118
218 553.96703
219 557.76172
220 561.56526
221 565.37761
222 569.19877
223 573.02872
224 576.86744
225 580.71492
226 584.57115
227 588.43611
228 592.30979
229 596.19217
230 600.08324
231 603.98298
232 607.89139
233 611.80845
234 615.73415
235 619.66846
236 623.61140
237 627.56292
238 631.52304
239 635.49173
240 639.46899
241 643.45479
242 647.44914
243 651.45201
244 655.46340
245 659.48330
246 663.51169
247 667.54857
248 671.59392
249 675.64773
250 679.71000
251 683.78071
252 687.85986
253 691.94743
254 696.04342
255 700.14781
256 704.26060
257 708.38178
258 712.51134
259 716.64927
260 720.79556
261 724.95020
262 729.11319
263 733.28452
264 737.46418
265 741.65215
266 745.84845
267 750.05305
268 754.26595
269 758.48715
270 762.71663
271 766.95439
272 771.20042
273 775.45472
274 779.71728
275 783.98810
276 788.26716
277 792.55447
278 796.85001
279 801.15378
280 805.46578
281 809.78600
282 814.11443
283 818.45108
284 822.79593
285 827.14898
286 831.51023
287 835.87967
288 840.25729
289 844.64310
290 849.03709
291 853.43926
292 857.84960
293 862.26810
294 866.69477
295 871.12960
296 875.57259
297 880.02374
298 884.48303
299 888.95048
300 893.42607
301 897.90980
302 902.40168
303 906.90170
304 911.40985
305 915.92614
306 920.45056
307 924.98311
308 929.52379
309 934.07260
310 938.62953
311 943.19459
312 947.76778
313 952.34908
314 956.93850
315 961.53605
316 966.14172
317 970.75550
318 975.37740
319 980.00742
320 984.64556
