# Partition Function for HCl isotopologue 1: H^35Cl
# Temperature range: 160-320 K
#T,K     Q(T)
160 88.02303
161 88.55644
162 89.08987
163 89.62331
164 90.15676
165 90.69022
166 91.22369
167 91.75717
168 92.29067
169 92.82417
170 93.35769
171 93.89121
172 94.42475
173 94.95830
174 95.49185
175 96.02542
176 96.55900
177 97.09259
178 97.62619
179 98.15980
180 98.69341
181 99.22704
182 99.76068
183 100.29433
184 100.82799
185 101.36166
186 101.89534
187 102.42903
188 102.96273
189 103.49644
190 104.03015
191 104.56388
192 105.09762
193 105.63137
194 106.16512
195 106.69889
196 107.23266
197 107.76645
198 108.30024
199 108.83405
200 109.36786
201 109.90168
202 110.43552
203 110.96936
204 111.50321
205 112.03707
206 112.57094
207 113.10481
208 113.63870
209 114.17260
210 114.70650
211 115.24042
212 115.77434
213 116.30827
214 116.84221
215 117.37616
216 117.91012
217 118.44409
218 118.97807
219 119.51205
220 120.04605
221 120.58005
222 121.11406
223 121.64808
224 122.18211
225 122.71615
226 123.25020
227 123.78426
228 124.31832
229 124.85239
230 125.38648
231 125.92057
232 126.45467
233 126.98877
234 127.52289
235 128.05701
236 128.59115
237 129.12529
238 129.65944
239 130.19360
240 130.72777
241 131.26194
242 131.79613
243 132.33032
244 132.86452
245 133.39873
246 133.93295
247 134.46717
248 135.00141
249 135.53565
250 136.06990
251 136.60416
252 137.13843
253 137.67271
254 138.20699
255 138.74128
256 139.27559
257 139.80990
258 140.34421
259 140.87854
260 141.41287
261 141.94722
262 142.48157
263 143.01593
264 143.55030
265 144.08467
266 144.61905
267 145.15345
268 145.68785
269 146.22226
270 146.75667
271 147.29110
272 147.82553
273 148.35997
274 148.89442
275 149.42888
276 149.96335
277 150.49782
278 151.03230
279 151.56679
280 152.10129
281 152.63580
282 153.17031
283 153.70484
284 154.23937
285 154.77391
286 155.30845
287 155.84301
288 156.37757
289 156.91215
290 157.44673
291 157.98132
292 158.51591
293 159.05052
294 159.58513
295 160.11975
296 160.65438
297 161.18902
298 161.72366
299 162.25832
300 162.79298
301 163.32765
302 163.86233
303 164.39702
304 164.93171
305 165.46642
306 166.00113
307 166.53585
308 167.07058
309 167.60531
310 168.14006
311 168.67481
312 169.20957
313 169.74434
314 170.27912
315 170.81391
316 171.34870
317 171.88350
318 172.41832
319 172.95314
320 173.48796
