# Partition Function for HCl isotopologue 3: D^{35}Cl
# Temperature range: 160-320 K
#T,K     Q(T)
160 251.78225
161 253.33207
162 254.88191
163 256.43178
164 257.98168
165 259.53160
166 261.08154
167 262.63150
168 264.18149
169 265.73151
170 267.28154
171 268.83160
172 270.38169
173 271.93179
174 273.48192
175 275.03207
176 276.58225
177 278.13245
178 279.68267
179 281.23292
180 282.78319
181 284.33348
182 285.88380
183 287.43414
184 288.98450
185 290.53489
186 292.08529
187 293.63573
188 295.18618
189 296.73666
190 298.28716
191 299.83768
192 301.38823
193 302.93880
194 304.48939
195 306.04000
196 307.59064
197 309.14130
198 310.69199
199 312.24269
200 313.79343
201 315.34418
202 316.89495
203 318.44575
204 319.99658
205 321.54742
206 323.09829
207 324.64918
208 326.20009
209 327.75103
210 329.30199
211 330.85298
212 332.40398
213 333.95501
214 335.50607
215 337.05715
216 338.60825
217 340.15937
218 341.71052
219 343.26169
220 344.81288
221 346.36410
222 347.91534
223 349.46661
224 351.01790
225 352.56921
226 354.12055
227 355.67191
228 357.22329
229 358.77470
230 360.32614
231 361.87760
232 363.42908
233 364.98059
234 366.53212
235 368.08368
236 369.63526
237 371.18687
238 372.73850
239 374.29016
240 375.84184
241 377.39355
242 378.94528
243 380.49704
244 382.04883
245 383.60064
246 385.15248
247 386.70434
248 388.25624
249 389.80815
250 391.36010
251 392.91207
252 394.46407
253 396.01610
254 397.56816
255 399.12024
256 400.67235
257 402.22449
258 403.77666
259 405.32886
260 406.88109
261 408.43335
262 409.98563
263 411.53795
264 413.09029
265 414.64267
266 416.19508
267 417.74752
268 419.29999
269 420.85249
270 422.40502
271 423.95759
272 425.51018
273 427.06282
274 428.61548
275 430.16818
276 431.72091
277 433.27367
278 434.82647
279 436.37931
280 437.93218
281 439.48509
282 441.03803
283 442.59101
284 444.14402
285 445.69707
286 447.25017
287 448.80329
288 450.35646
289 451.90967
290 453.46291
291 455.01620
292 456.56953
293 458.12289
294 459.67630
295 461.22975
296 462.78324
297 464.33678
298 465.89036
299 467.44398
300 468.99765
301 470.55136
302 472.10512
303 473.65892
304 475.21277
305 476.76667
306 478.32062
307 479.87461
308 481.42866
309 482.98275
310 484.53689
311 486.09109
312 487.64533
313 489.19963
314 490.75398
315 492.30839
316 493.86285
317 495.41736
318 496.97193
319 498.52655
320 500.08124
