# Partition Function for H2CO isotopologue 2: H_{2}^{13}C^{16}O
# Temperature range: 160-320 K
#T,K     Q(T)
160 2304.74920
161 2326.37190
162 2348.06270
163 2369.82120
164 2391.64730
165 2413.54090
166 2435.50170
167 2457.52970
168 2479.62460
169 2501.78630
170 2524.01460
171 2546.30950
172 2568.67060
173 2591.09800
174 2613.59140
175 2636.15060
176 2658.77570
177 2681.46640
178 2704.22260
179 2727.04410
180 2749.93090
181 2772.88280
182 2795.89970
183 2818.98150
184 2842.12800
185 2865.33920
186 2888.61500
187 2911.95520
188 2935.35970
189 2958.82840
190 2982.36130
191 3005.95820
192 3029.61910
193 3053.34390
194 3077.13240
195 3100.98460
196 3124.90050
197 3148.87990
198 3172.92270
199 3197.02900
200 3221.19850
201 3245.43140
202 3269.72750
203 3294.08670
204 3318.50900
205 3342.99430
206 3367.54260
207 3392.15390
208 3416.82800
209 3441.56500
210 3466.36480
211 3491.22750
212 3516.15280
213 3541.14090
214 3566.19170
215 3591.30510
216 3616.48120
217 3641.71990
218 3667.02130
219 3692.38520
220 3717.81170
221 3743.30090
222 3768.85260
223 3794.46690
224 3820.14370
225 3845.88320
226 3871.68530
227 3897.55000
228 3923.47730
229 3949.46720
230 3975.51980
231 4001.63510
232 4027.81310
233 4054.05380
234 4080.35730
235 4106.72360
236 4133.15270
237 4159.64470
238 4186.19960
239 4212.81740
240 4239.49830
241 4266.24220
242 4293.04920
243 4319.91940
244 4346.85280
245 4373.84940
246 4400.90940
247 4428.03280
248 4455.21970
249 4482.47020
250 4509.78420
251 4537.16190
252 4564.60350
253 4592.10880
254 4619.67810
255 4647.31150
256 4675.00890
257 4702.77060
258 4730.59650
259 4758.48680
260 4786.44170
261 4814.46110
262 4842.54520
263 4870.69420
264 4898.90800
265 4927.18690
266 4955.53090
267 4983.94020
268 5012.41480
269 5040.95500
270 5069.56070
271 5098.23220
272 5126.96960
273 5155.77290
274 5184.64240
275 5213.57820
276 5242.58040
277 5271.64910
278 5300.78450
279 5329.98680
280 5359.25600
281 5388.59230
282 5417.99600
283 5447.46700
284 5477.00570
285 5506.61200
286 5536.28630
287 5566.02870
288 5595.83920
289 5625.71820
290 5655.66570
291 5685.68200
292 5715.76710
293 5745.92140
294 5776.14480
295 5806.43770
296 5836.80030
297 5867.23260
298 5897.73490
299 5928.30730
300 5958.95010
301 5989.66350
302 6020.44760
303 6051.30260
304 6082.22870
305 6113.22610
306 6144.29510
307 6175.43580
308 6206.64840
309 6237.93320
310 6269.29020
311 6300.71990
312 6332.22230
313 6363.79760
314 6395.44620
315 6427.16810
316 6458.96370
317 6490.83310
318 6522.77650
319 6554.79430
320 6586.88650
