# Partition function for "H212C18O (128)".
# Temperature range: 70-3000K.
#T,K           Q(T)
 160            1179.172143
 162            1201.331083
 164            1223.639341
 166            1246.067055
 168            1268.644088
 170            1291.340576
 172            1314.186383
 174            1337.181509
 176            1360.296090
 178            1383.530126
 180            1406.943346
 182            1430.446156
 184            1454.098286
 186            1477.899734
 188            1501.790774
 190            1525.831133
 192            1550.020811
 194            1574.329945
 196            1598.758533
 198            1623.336440
 200            1648.033803
 202            1672.850621
 204            1697.816758
 206            1722.902350
 208            1748.137261
 210            1773.461763
 212            1798.935584
 214            1824.558725
 216            1850.271457
 218            1876.133507
 220            1902.144877
 222            1928.245838
 224            1954.496119
 226            1980.865854
 228            2007.384908
 230            2034.023418
 232            2060.781383
 234            2087.688667
 236            2114.685542
 238            2141.831736
 240            2169.097385
 242            2196.512354
 244            2224.016914
 246            2251.700656
 248            2279.473990
 250            2307.396643
 252            2335.438751
 254            2363.630179
 256            2391.941061
 258            2420.401262
 260            2448.980919
 262            2477.680031
 264            2506.498598
 266            2535.466484
 268            2564.583689
 270            2593.820349
 272            2623.206328
 274            2652.711763
 276            2682.366516
 278            2712.140725
 280            2742.064252
 282            2772.107235
 284            2802.299537
 286            2832.641158
 288            2863.102234
 290            2893.712629
 292            2924.472343
 294            2955.351512
 296            2986.380000
 298            3017.557807
 300            3048.884933
 302            3080.331515
 304            3111.957279
 306            3143.702498
 308            3175.597037
 310            3207.670758
 312            3239.863934
 314            3272.206430
 316            3304.698244
 318            3337.339378
 320            3370.159694
 322            3403.129329
 324            3436.218419
 326            3469.486693
 328            3502.934149
 330            3536.501060
 332            3570.247154
 334            3604.142567
 336            3638.187299
 338            3672.411214
 340            3706.784447
