# Partition Function for CO2 isotopologue 1: ^12C^16O2
# Temperature range: 160-320 K
#T,K     Q(T)
160 143.39124
161 144.31370
162 145.23720
163 146.16175
164 147.08737
165 148.01408
166 148.94190
167 149.87085
168 150.80096
169 151.73223
170 152.66469
171 153.59837
172 154.53327
173 155.46942
174 156.40685
175 157.34556
176 158.28559
177 159.22695
178 160.16965
179 161.11373
180 162.05919
181 163.00607
182 163.95438
183 164.90413
184 165.85536
185 166.80808
186 167.76230
187 168.71805
188 169.67535
189 170.63422
190 171.59468
191 172.55675
192 173.52044
193 174.48578
194 175.45278
195 176.42147
196 177.39187
197 178.36399
198 179.33785
199 180.31347
200 181.29088
201 182.27008
202 183.25111
203 184.23397
204 185.21869
205 186.20529
206 187.19378
207 188.18419
208 189.17653
209 190.17082
210 191.16707
211 192.16532
212 193.16557
213 194.16785
214 195.17217
215 196.17855
216 197.18701
217 198.19757
218 199.21025
219 200.22505
220 201.24201
221 202.26114
222 203.28245
223 204.30597
224 205.33171
225 206.35969
226 207.38993
227 208.42245
228 209.45725
229 210.49436
230 211.53381
231 212.57559
232 213.61973
233 214.66626
234 215.71518
235 216.76651
236 217.82026
237 218.87647
238 219.93513
239 220.99628
240 222.05992
241 223.12607
242 224.19475
243 225.26598
244 226.33977
245 227.41613
246 228.49509
247 229.57666
248 230.66085
249 231.74769
250 232.83719
251 233.92936
252 235.02422
253 236.12178
254 237.22207
255 238.32510
256 239.43088
257 240.53942
258 241.65076
259 242.76489
260 243.88184
261 245.00161
262 246.12424
263 247.24973
264 248.37809
265 249.50935
266 250.64351
267 251.78060
268 252.92062
269 254.06359
270 255.20954
271 256.35846
272 257.51039
273 258.66532
274 259.82328
275 260.98429
276 262.14835
277 263.31548
278 264.48570
279 265.65902
280 266.83546
281 268.01502
282 269.19773
283 270.38360
284 271.57264
285 272.76486
286 273.96029
287 275.15894
288 276.36082
289 277.56594
290 278.77432
291 279.98597
292 281.20091
293 282.41915
294 283.64071
295 284.86559
296 286.09382
297 287.32541
298 288.56037
299 289.79871
300 291.04046
301 292.28561
302 293.53420
303 294.78622
304 296.04170
305 297.30064
306 298.56307
307 299.82900
308 301.09843
309 302.37138
310 303.64788
311 304.92792
312 306.21153
313 307.49871
314 308.78949
315 310.08387
316 311.38187
317 312.68349
318 313.98877
319 315.29770
320 316.61031
