# Partition Function for CO2 isotopologue 4: ^{16}O^{12}C^{17}O
# Temperature range: 160-320 K
#T,K     Q(T)
160 1773.60658
161 1785.02385
162 1796.45409
163 1807.89754
164 1819.35447
165 1830.82511
166 1842.30972
167 1853.80854
168 1865.32182
169 1876.84981
170 1888.39276
171 1899.95093
172 1911.52455
173 1923.11388
174 1934.71918
175 1946.34068
176 1957.97864
177 1969.63331
178 1981.30494
179 1992.99377
180 2004.70006
181 2016.42405
182 2028.16600
183 2039.92614
184 2051.70473
185 2063.50202
186 2075.31825
187 2087.15366
188 2099.00851
189 2110.88304
190 2122.77749
191 2134.69211
192 2146.62714
193 2158.58283
194 2170.55942
195 2182.55714
196 2194.57625
197 2206.61698
198 2218.67957
199 2230.76426
200 2242.87129
201 2255.00090
202 2267.15333
203 2279.32880
204 2291.52757
205 2303.74986
206 2315.99591
207 2328.26595
208 2340.56021
209 2352.87893
210 2365.22233
211 2377.59066
212 2389.98413
213 2402.40298
214 2414.84744
215 2427.31773
216 2439.81408
217 2452.33671
218 2464.88586
219 2477.46173
220 2490.06457
221 2502.69459
222 2515.35201
223 2528.03705
224 2540.74993
225 2553.49088
226 2566.26011
227 2579.05784
228 2591.88428
229 2604.73966
230 2617.62419
231 2630.53807
232 2643.48153
233 2656.45479
234 2669.45804
235 2682.49150
236 2695.55539
237 2708.64991
238 2721.77528
239 2734.93169
240 2748.11936
241 2761.33850
242 2774.58931
243 2787.87199
244 2801.18676
245 2814.53381
246 2827.91335
247 2841.32558
248 2854.77070
249 2868.24892
250 2881.76043
251 2895.30543
252 2908.88413
253 2922.49672
254 2936.14339
255 2949.82435
256 2963.53979
257 2977.28991
258 2991.07490
259 3004.89496
260 3018.75028
261 3032.64105
262 3046.56747
263 3060.52972
264 3074.52801
265 3088.56251
266 3102.63342
267 3116.74094
268 3130.88524
269 3145.06651
270 3159.28495
271 3173.54075
272 3187.83408
273 3202.16513
274 3216.53410
275 3230.94115
276 3245.38649
277 3259.87030
278 3274.39274
279 3288.95402
280 3303.55432
281 3318.19380
282 3332.87267
283 3347.59109
284 3362.34925
285 3377.14732
286 3391.98550
287 3406.86395
288 3421.78286
289 3436.74241
290 3451.74276
291 3466.78411
292 3481.86663
293 3496.99049
294 3512.15587
295 3527.36295
296 3542.61190
297 3557.90290
298 3573.23613
299 3588.61175
300 3604.02994
301 3619.49088
302 3634.99474
303 3650.54169
304 3666.13191
305 3681.76557
306 3697.44283
307 3713.16388
308 3728.92889
309 3744.73801
310 3760.59144
311 3776.48933
312 3792.43186
313 3808.41920
314 3824.45151
315 3840.52898
316 3856.65176
317 3872.82002
318 3889.03395
319 3905.29369
320 3921.59943
