# Partition Function for O3 isotopologue 1: ^16O3
# Temperature range: 160-320 K
#T,K     Q(T)
160 1320.29000
161 1332.81280
162 1345.37980
163 1357.99090
164 1370.64650
165 1383.34620
166 1396.09040
167 1408.87900
168 1421.71170
169 1434.58940
170 1447.51160
171 1460.47820
172 1473.48940
173 1486.54550
174 1499.64630
175 1512.79210
176 1525.98260
177 1539.21830
178 1552.49900
179 1565.82450
180 1579.19580
181 1592.61200
182 1606.07370
183 1619.58080
184 1633.13360
185 1646.73190
186 1660.37610
187 1674.06620
188 1687.80200
189 1701.58410
190 1715.41220
191 1729.28670
192 1743.20750
193 1757.17490
194 1771.18850
195 1785.24940
196 1799.35660
197 1813.51140
198 1827.71290
199 1841.96130
200 1856.25750
201 1870.60120
202 1884.99220
203 1899.43070
204 1913.91760
205 1928.45240
206 1943.03530
207 1957.66680
208 1972.34600
209 1987.07430
210 2001.85120
211 2016.67700
212 2031.55180
213 2046.47600
214 2061.44920
215 2076.47220
216 2091.54460
217 2106.66650
218 2121.83920
219 2137.06140
220 2152.33440
221 2167.65770
222 2183.03090
223 2198.45540
224 2213.93120
225 2229.45820
226 2245.03650
227 2260.66570
228 2276.34720
229 2292.08050
230 2307.86580
231 2323.70310
232 2339.59310
233 2355.53620
234 2371.53150
235 2387.57970
236 2403.68110
237 2419.83630
238 2436.04470
239 2452.30680
240 2468.62280
241 2484.99310
242 2501.41810
243 2517.89750
244 2534.43150
245 2551.01990
246 2567.66430
247 2584.36370
248 2601.11870
249 2617.92980
250 2634.79560
251 2651.71900
252 2668.69850
253 2685.73470
254 2702.82670
255 2719.97690
256 2737.18410
257 2754.44900
258 2771.77090
259 2789.15100
260 2806.58910
261 2824.08580
262 2841.64100
263 2859.25510
264 2876.92760
265 2894.65980
266 2912.45170
267 2930.30280
268 2948.21370
269 2966.18540
270 2984.21720
271 3002.30940
272 3020.46250
273 3038.67650
274 3056.95230
275 3075.28910
276 3093.68820
277 3112.14890
278 3130.67120
279 3149.25720
280 3167.90550
281 3186.61620
282 3205.39030
283 3224.22790
284 3243.12960
285 3262.09460
286 3281.12370
287 3300.21690
288 3319.37560
289 3338.59870
290 3357.88720
291 3377.24060
292 3396.66000
293 3416.14490
294 3435.69620
295 3455.31380
296 3474.99780
297 3494.74860
298 3514.56690
299 3534.45280
300 3554.40550
301 3574.42640
302 3594.51470
303 3614.67240
304 3634.89830
305 3655.19360
306 3675.55660
307 3695.99000
308 3716.49300
309 3737.06580
310 3757.70850
311 3778.42190
312 3799.20550
313 3820.06080
314 3840.98680
315 3861.98400
316 3883.05330
317 3904.19490
318 3925.40800
319 3946.69430
320 3968.05230
