# Partition Function for N2O isotopologue 1: ^14N2^16O
# Temperature range: 160-320 K
#T,K     Q(T)
160 2416.23688
161 2432.14153
162 2448.07377
163 2464.03403
164 2480.02271
165 2496.04023
166 2512.08702
167 2528.16349
168 2544.27006
169 2560.40713
170 2576.57513
171 2592.77445
172 2609.00553
173 2625.26875
174 2641.56453
175 2657.89328
176 2674.25539
177 2690.65127
178 2707.08133
179 2723.54596
180 2740.04556
181 2756.58053
182 2773.15126
183 2789.75814
184 2806.40157
185 2823.08193
186 2839.79962
187 2856.55502
188 2873.34851
189 2890.18048
190 2907.05132
191 2923.96139
192 2940.91108
193 2957.90076
194 2974.93081
195 2992.00160
196 3009.11350
197 3026.26688
198 3043.46211
199 3060.69955
200 3077.97957
201 3095.30253
202 3112.66879
203 3130.07871
204 3147.53265
205 3165.03095
206 3182.57399
207 3200.16210
208 3217.79563
209 3235.47495
210 3253.20039
211 3270.97230
212 3288.79102
213 3306.65690
214 3324.57027
215 3342.53148
216 3360.54086
217 3378.59876
218 3396.70549
219 3414.86140
220 3433.06682
221 3451.32208
222 3469.62750
223 3487.98342
224 3506.39016
225 3524.84804
226 3543.35738
227 3561.91851
228 3580.53175
229 3599.19742
230 3617.91583
231 3636.68730
232 3655.51214
233 3674.39067
234 3693.32320
235 3712.31004
236 3731.35150
237 3750.44788
238 3769.59951
239 3788.80667
240 3808.06968
241 3827.38884
242 3846.76445
243 3866.19682
244 3885.68624
245 3905.23302
246 3924.83744
247 3944.49982
248 3964.22044
249 3983.99961
250 4003.83760
251 4023.73473
252 4043.69127
253 4063.70753
254 4083.78378
255 4103.92033
256 4124.11746
257 4144.37545
258 4164.69460
259 4185.07519
260 4205.51750
261 4226.02182
262 4246.58844
263 4267.21763
264 4287.90968
265 4308.66487
266 4329.48347
267 4350.36578
268 4371.31206
269 4392.32260
270 4413.39767
271 4434.53755
272 4455.74252
273 4477.01285
274 4498.34883
275 4519.75071
276 4541.21878
277 4562.75331
278 4584.35457
279 4606.02283
280 4627.75838
281 4649.56146
282 4671.43237
283 4693.37137
284 4715.37872
285 4737.45470
286 4759.59957
287 4781.81361
288 4804.09708
289 4826.45025
290 4848.87338
291 4871.36674
292 4893.93061
293 4916.56523
294 4939.27089
295 4962.04784
296 4984.89635
297 5007.81668
298 5030.80910
299 5053.87387
300 5077.01126
301 5100.22152
302 5123.50492
303 5146.86173
304 5170.29220
305 5193.79660
306 5217.37518
307 5241.02822
308 5264.75597
309 5288.55869
310 5312.43664
311 5336.39009
312 5360.41930
313 5384.52451
314 5408.70601
315 5432.96403
316 5457.29885
317 5481.71073
318 5506.19992
319 5530.76669
320 5555.41128
