# Partition Function for N2O isotopologue 2: ^14N^15N^16O
# Temperature range: 160-320 K
#T,K     Q(T)
160 1615.67070
161 1626.38020
162 1637.10990
163 1647.86010
164 1658.63110
165 1669.42300
166 1680.23640
167 1691.07130
168 1701.92810
169 1712.80720
170 1723.70870
171 1734.63300
172 1745.58030
173 1756.55090
174 1767.54520
175 1778.56330
176 1789.60560
177 1800.67230
178 1811.76370
179 1822.88010
180 1834.02180
181 1845.18900
182 1856.38200
183 1867.60110
184 1878.84650
185 1890.11860
186 1901.41750
187 1912.74350
188 1924.09690
189 1935.47800
190 1946.88700
191 1958.32420
192 1969.78980
193 1981.28410
194 1992.80740
195 2004.35990
196 2015.94180
197 2027.55340
198 2039.19500
199 2050.86680
200 2062.56900
201 2074.30190
202 2086.06580
203 2097.86090
204 2109.68740
205 2121.54560
206 2133.43570
207 2145.35790
208 2157.31260
209 2169.29980
210 2181.32000
211 2193.37320
212 2205.45980
213 2217.57990
214 2229.73380
215 2241.92180
216 2254.14400
217 2266.40060
218 2278.69200
219 2291.01840
220 2303.37990
221 2315.77680
222 2328.20920
223 2340.67760
224 2353.18190
225 2365.72260
226 2378.29970
227 2390.91350
228 2403.56430
229 2416.25220
230 2428.97750
231 2441.74030
232 2454.54090
233 2467.37950
234 2480.25630
235 2493.17160
236 2506.12540
237 2519.11810
238 2532.14990
239 2545.22090
240 2558.33130
241 2571.48150
242 2584.67150
243 2597.90160
244 2611.17190
245 2624.48280
246 2637.83430
247 2651.22670
248 2664.66020
249 2678.13500
250 2691.65130
251 2705.20930
252 2718.80920
253 2732.45110
254 2746.13540
255 2759.86210
256 2773.63150
257 2787.44370
258 2801.29910
259 2815.19760
260 2829.13970
261 2843.12540
262 2857.15490
263 2871.22850
264 2885.34630
265 2899.50850
266 2913.71530
267 2927.96690
268 2942.26350
269 2956.60530
270 2970.99250
271 2985.42520
272 2999.90360
273 3014.42800
274 3028.99850
275 3043.61530
276 3058.27860
277 3072.98860
278 3087.74550
279 3102.54940
280 3117.40050
281 3132.29910
282 3147.24530
283 3162.23930
284 3177.28120
285 3192.37130
286 3207.50980
287 3222.69680
288 3237.93250
289 3253.21710
290 3268.55070
291 3283.93370
292 3299.36600
293 3314.84800
294 3330.37980
295 3345.96160
296 3361.59360
297 3377.27590
298 3393.00880
299 3408.79230
300 3424.62680
301 3440.51230
302 3456.44910
303 3472.43730
304 3488.47710
305 3504.56870
306 3520.71230
307 3536.90810
308 3553.15620
309 3569.45680
310 3585.81010
311 3602.21620
312 3618.67540
313 3635.18790
314 3651.75370
315 3668.37320
316 3685.04640
317 3701.77360
318 3718.55480
319 3735.39040
320 3752.28050
