# Partition Function for N2O isotopologue 3: ^{15}N^{14}N^{16}O
# Temperature range: 160-320 K
#T,K     Q(T)
160 1670.34830
161 1681.37730
162 1692.42620
163 1703.49500
164 1714.58420
165 1725.69410
166 1736.82480
167 1747.97670
168 1759.15020
169 1770.34540
170 1781.56270
171 1792.80230
172 1804.06460
173 1815.34990
174 1826.65830
175 1837.99030
176 1849.34600
177 1860.72580
178 1872.13000
179 1883.55880
180 1895.01240
181 1906.49130
182 1917.99560
183 1929.52570
184 1941.08180
185 1952.66410
186 1964.27300
187 1975.90870
188 1987.57150
189 1999.26170
190 2010.97940
191 2022.72510
192 2034.49890
193 2046.30120
194 2058.13210
195 2069.99190
196 2081.88090
197 2093.79940
198 2105.74760
199 2117.72580
200 2129.73410
201 2141.77300
202 2153.84260
203 2165.94310
204 2178.07490
205 2190.23810
206 2202.43310
207 2214.66000
208 2226.91910
209 2239.21070
210 2251.53500
211 2263.89220
212 2276.28260
213 2288.70640
214 2301.16390
215 2313.65520
216 2326.18070
217 2338.74050
218 2351.33490
219 2363.96420
220 2376.62850
221 2389.32810
222 2402.06320
223 2414.83410
224 2427.64100
225 2440.48400
226 2453.36350
227 2466.27960
228 2479.23260
229 2492.22270
230 2505.25010
231 2518.31510
232 2531.41780
233 2544.55850
234 2557.73740
235 2570.95470
236 2584.21070
237 2597.50540
238 2610.83930
239 2624.21240
240 2637.62510
241 2651.07740
242 2664.56960
243 2678.10200
244 2691.67470
245 2705.28790
246 2718.94190
247 2732.63690
248 2746.37300
249 2760.15050
250 2773.96960
251 2787.83050
252 2801.73340
253 2815.67840
254 2829.66590
255 2843.69600
256 2857.76880
257 2871.88470
258 2886.04380
259 2900.24630
260 2914.49240
261 2928.78230
262 2943.11620
263 2957.49430
264 2971.91680
265 2986.38390
266 3000.89580
267 3015.45270
268 3030.05480
269 3044.70230
270 3059.39540
271 3074.13420
272 3088.91900
273 3103.74990
274 3118.62720
275 3133.55110
276 3148.52170
277 3163.53920
278 3178.60380
279 3193.71580
280 3208.87520
281 3224.08240
282 3239.33740
283 3254.64050
284 3269.99190
285 3285.39170
286 3300.84020
287 3316.33750
288 3331.88380
289 3347.47930
290 3363.12420
291 3378.81870
292 3394.56300
293 3410.35720
294 3426.20160
295 3442.09630
296 3458.04150
297 3474.03740
298 3490.08420
299 3506.18210
300 3522.33120
301 3538.53180
302 3554.78400
303 3571.08810
304 3587.44410
305 3603.85230
306 3620.31290
307 3636.82600
308 3653.39190
309 3670.01070
310 3686.68260
311 3703.40770
312 3720.18640
313 3737.01870
314 3753.90480
315 3770.84500
316 3787.83940
317 3804.88810
318 3821.99150
319 3839.14960
320 3856.36260
