# Partition Function for N2O isotopologue 4: ^{14}N_{2}^{18}O
# Temperature range: 160-320 K
#T,K     Q(T)
160 2564.50380
161 2581.44500
162 2598.41660
163 2615.41920
164 2632.45320
165 2649.51920
166 2666.61740
167 2683.74850
168 2700.91280
169 2718.11070
170 2735.34280
171 2752.60940
172 2769.91110
173 2787.24820
174 2804.62120
175 2822.03060
176 2839.47670
177 2856.96000
178 2874.48090
179 2892.04000
180 2909.63750
181 2927.27390
182 2944.94970
183 2962.66530
184 2980.42100
185 2998.21740
186 3016.05480
187 3033.93370
188 3051.85450
189 3069.81750
190 3087.82320
191 3105.87210
192 3123.96440
193 3142.10070
194 3160.28130
195 3178.50660
196 3196.77710
197 3215.09310
198 3233.45500
199 3251.86320
200 3270.31810
201 3288.82020
202 3307.36970
203 3325.96710
204 3344.61280
205 3363.30720
206 3382.05060
207 3400.84340
208 3419.68590
209 3438.57870
210 3457.52200
211 3476.51620
212 3495.56180
213 3514.65900
214 3533.80820
215 3553.00980
216 3572.26420
217 3591.57170
218 3610.93270
219 3630.34760
220 3649.81660
221 3669.34030
222 3688.91880
223 3708.55270
224 3728.24210
225 3747.98760
226 3767.78940
227 3787.64780
228 3807.56330
229 3827.53620
230 3847.56680
231 3867.65550
232 3887.80250
233 3908.00830
234 3928.27320
235 3948.59750
236 3968.98150
237 3989.42570
238 4009.93030
239 4030.49560
240 4051.12200
241 4071.80980
242 4092.55940
243 4113.37110
244 4134.24510
245 4155.18190
246 4176.18180
247 4197.24500
248 4218.37190
249 4239.56280
250 4260.81810
251 4282.13810
252 4303.52300
253 4324.97320
254 4346.48900
255 4368.07070
256 4389.71870
257 4411.43320
258 4433.21460
259 4455.06320
260 4476.97930
261 4498.96320
262 4521.01510
263 4543.13550
264 4565.32470
265 4587.58280
266 4609.91030
267 4632.30750
268 4654.77460
269 4677.31190
270 4699.91980
271 4722.59850
272 4745.34850
273 4768.16980
274 4791.06300
275 4814.02820
276 4837.06580
277 4860.17600
278 4883.35920
279 4906.61560
280 4929.94560
281 4953.34950
282 4976.82750
283 5000.38000
284 5024.00710
285 5047.70940
286 5071.48690
287 5095.34010
288 5119.26920
289 5143.27450
290 5167.35630
291 5191.51490
292 5215.75050
293 5240.06360
294 5264.45430
295 5288.92300
296 5313.46990
297 5338.09540
298 5362.79960
299 5387.58300
300 5412.44590
301 5437.38840
302 5462.41080
303 5487.51360
304 5512.69690
305 5537.96110
306 5563.30640
307 5588.73310
308 5614.24150
309 5639.83190
310 5665.50460
311 5691.25990
312 5717.09800
313 5743.01930
314 5769.02400
315 5795.11240
316 5821.28480
317 5847.54150
318 5873.88270
319 5900.30880
320 5926.82010
