# Partition Function.
# Temperature range: 160-320 K 
#T,K     Q(T)

160     233.308989
162     237.583405
164     241.884956
166     246.214232
168     250.570643
170     254.955370
172     259.366642
174     263.806230
176     268.273542
178     272.768580
180     277.291933
182     281.843012
184     286.422406
186     291.029525
188     295.664959
190     300.328708
192     305.020773
194     309.741153
196     314.490437
198     319.268038
200     324.073953
202     328.909363
204     333.773089
206     338.665719
208     343.587255
210     348.537696
212     353.517632
214     358.526472
216     363.564218
218     368.632049
220     373.728196
222     378.854426
224     384.010742
226     389.195963
228     394.410679
230     399.655480
232     404.929776
234     410.234157
236     415.568623
238     420.933173
240     426.327219
242     431.751939
244     437.207335
246     442.692225
248     448.207790
250     453.754030
252     459.330354
254     464.937944
256     470.575618
258     476.243967
260     481.943581
262     487.673869
264     493.435423
266     499.227651
268     505.051144
270     510.905901
272     516.791923
274     522.709210
276     528.657762
278     534.637578
280     540.649839
282     546.692774
284     552.767565
286     558.874799
288     565.013299
290     571.183653
292     577.386451
294     583.621104
296     589.900000
298     596.186564
300     602.517961
302     608.881212
304     615.277498
306     621.705638
308     628.166813
310     634.660432
312     641.186496
314     647.746184
316     654.337726
318     660.962893
320     667.620505
