# Partition Function for CH4 isotopologue 2: ^{13}CH_{4}
# Temperature range: 160-320 K
#T,K     Q(T)
160 468.24000
161 472.60791
162 476.98946
163 481.38460
164 485.79330
165 490.21553
166 494.65124
167 499.10042
168 503.56302
169 508.03900
170 512.52835
171 517.03103
172 521.54700
173 526.07624
174 530.61871
175 535.17439
176 539.74325
177 544.32526
178 548.92040
179 553.52863
180 558.14993
181 562.78428
182 567.43164
183 572.09201
184 576.76534
185 581.45163
186 586.15084
187 590.86295
188 595.58795
189 600.32582
190 605.07652
191 609.84005
192 614.61639
193 619.40551
194 624.20741
195 629.02205
196 633.84944
197 638.68954
198 643.54235
199 648.40786
200 653.28604
201 658.17689
202 663.08039
203 667.99653
204 672.92531
205 677.86671
206 682.82071
207 687.78732
208 692.76653
209 697.75832
210 702.76268
211 707.77962
212 712.80913
213 717.85120
214 722.90583
215 727.97301
216 733.05275
217 738.14503
218 743.24986
219 748.36723
220 753.49715
221 758.63962
222 763.79463
223 768.96220
224 774.14231
225 779.33498
226 784.54020
227 789.75799
228 794.98835
229 800.23127
230 805.48678
231 810.75487
232 816.03556
233 821.32885
234 826.63475
235 831.95328
236 837.28443
237 842.62823
238 847.98469
239 853.35381
240 858.73561
241 864.13010
242 869.53731
243 874.95724
244 880.38991
245 885.83533
246 891.29353
247 896.76452
248 902.24831
249 907.74494
250 913.25442
251 918.77676
252 924.31199
253 929.86014
254 935.42122
255 940.99525
256 946.58227
257 952.18229
258 957.79535
259 963.42145
260 969.06064
261 974.71294
262 980.37838
263 986.05698
264 991.74877
265 997.45378
266 1003.17205
267 1008.90360
268 1014.64847
269 1020.40668
270 1026.17828
271 1031.96328
272 1037.76173
273 1043.57366
274 1049.39911
275 1055.23811
276 1061.09069
277 1066.95690
278 1072.83677
279 1078.73034
280 1084.63765
281 1090.55874
282 1096.49364
283 1102.44240
284 1108.40505
285 1114.38165
286 1120.37223
287 1126.37683
288 1132.39550
289 1138.42829
290 1144.47522
291 1150.53636
292 1156.61175
293 1162.70142
294 1168.80544
295 1174.92384
296 1181.05667
297 1187.20399
298 1193.36584
299 1199.54226
300 1205.73332
301 1211.93905
302 1218.15952
303 1224.39477
304 1230.64485
305 1236.90981
306 1243.18972
307 1249.48462
308 1255.79457
309 1262.11962
310 1268.45982
311 1274.81524
312 1281.18592
313 1287.57193
314 1293.97332
315 1300.39015
316 1306.82247
317 1313.27035
318 1319.73384
319 1326.21301
320 1332.70791
