# Partition Function for CH4 isotopologue 3: ^12CH3D
# Temperature range: 160-320 K
#T,K     Q(T)
160 1891.35660
161 1909.03290
162 1926.76470
163 1944.55210
164 1962.39480
165 1980.29280
166 1998.24580
167 2016.25390
168 2034.31680
169 2052.43450
170 2070.60690
171 2088.83380
172 2107.11520
173 2125.45090
174 2143.84090
175 2162.28510
176 2180.78330
177 2199.33550
178 2217.94160
179 2236.60150
180 2255.31520
181 2274.08250
182 2292.90350
183 2311.77790
184 2330.70580
185 2349.68710
186 2368.72180
187 2387.80970
188 2406.95080
189 2426.14510
190 2445.39260
191 2464.69310
192 2484.04660
193 2503.45320
194 2522.91270
195 2542.42520
196 2561.99060
197 2581.60890
198 2601.28000
199 2621.00390
200 2640.78070
201 2660.61030
202 2680.49280
203 2700.42800
204 2720.41600
205 2740.45680
206 2760.55040
207 2780.69680
208 2800.89600
209 2821.14800
210 2841.45290
211 2861.81070
212 2882.22130
213 2902.68480
214 2923.20130
215 2943.77080
216 2964.39330
217 2985.06880
218 3005.79740
219 3026.57910
220 3047.41410
221 3068.30220
222 3089.24370
223 3110.23850
224 3131.28670
225 3152.38830
226 3173.54360
227 3194.75240
228 3216.01490
229 3237.33110
230 3258.70120
231 3280.12520
232 3301.60320
233 3323.13540
234 3344.72170
235 3366.36230
236 3388.05720
237 3409.80670
238 3431.61070
239 3453.46940
240 3475.38300
241 3497.35140
242 3519.37490
243 3541.45360
244 3563.58750
245 3585.77680
246 3608.02170
247 3630.32220
248 3652.67860
249 3675.09080
250 3697.55920
251 3720.08370
252 3742.66460
253 3765.30210
254 3787.99620
255 3810.74710
256 3833.55500
257 3856.42010
258 3879.34240
259 3902.32220
260 3925.35970
261 3948.45500
262 3971.60820
263 3994.81970
264 4018.08940
265 4041.41770
266 4064.80470
267 4088.25060
268 4111.75570
269 4135.31990
270 4158.94370
271 4182.62720
272 4206.37050
273 4230.17390
274 4254.03770
275 4277.96190
276 4301.94680
277 4325.99270
278 4350.09980
279 4374.26820
280 4398.49810
281 4422.79000
282 4447.14380
283 4471.55990
284 4496.03860
285 4520.58000
286 4545.18430
287 4569.85190
288 4594.58290
289 4619.37770
290 4644.23640
291 4669.15930
292 4694.14670
293 4719.19870
294 4744.31580
295 4769.49800
296 4794.74580
297 4820.05930
298 4845.43880
299 4870.88460
300 4896.39690
301 4921.97610
302 4947.62240
303 4973.33600
304 4999.11730
305 5024.96660
306 5050.88400
307 5076.87000
308 5102.92480
309 5129.04860
310 5155.24190
311 5181.50480
312 5207.83770
313 5234.24080
314 5260.71450
315 5287.25910
316 5313.87480
317 5340.56200
318 5367.32110
319 5394.15220
320 5421.05570
