# Partition Function for NO isotopologue 1: ^{14}N^{16}O
# Temperature range: 160-320 K
#T,K     Q(T)
160 533.96118
161 538.15964
162 542.36412
163 546.57457
164 550.79091
165 555.01308
166 559.24100
167 563.47460
168 567.71383
169 571.95862
170 576.20890
171 580.46461
172 584.72569
173 588.99208
174 593.26371
175 597.54054
176 601.82249
177 606.10951
178 610.40154
179 614.69854
180 619.00043
181 623.30718
182 627.61872
183 631.93499
184 636.25596
185 640.58157
186 644.91176
187 649.24649
188 653.58570
189 657.92936
190 662.27740
191 666.62979
192 670.98647
193 675.34740
194 679.71254
195 684.08183
196 688.45525
197 692.83273
198 697.21424
199 701.59974
200 705.98919
201 710.38254
202 714.77975
203 719.18079
204 723.58561
205 727.99417
206 732.40644
207 736.82238
208 741.24195
209 745.66512
210 750.09184
211 754.52208
212 758.95581
213 763.39300
214 767.83360
215 772.27758
216 776.72492
217 781.17557
218 785.62950
219 790.08669
220 794.54710
221 799.01069
222 803.47745
223 807.94733
224 812.42032
225 816.89637
226 821.37546
227 825.85756
228 830.34264
229 834.83067
230 839.32164
231 843.81550
232 848.31223
233 852.81181
234 857.31421
235 861.81940
236 866.32737
237 870.83807
238 875.35149
239 879.86761
240 884.38640
241 888.90783
242 893.43189
243 897.95854
244 902.48777
245 907.01956
246 911.55388
247 916.09071
248 920.63002
249 925.17181
250 929.71604
251 934.26270
252 938.81176
253 943.36321
254 947.91702
255 952.47318
256 957.03167
257 961.59246
258 966.15554
259 970.72090
260 975.28850
261 979.85834
262 984.43039
263 989.00465
264 993.58108
265 998.15969
266 1002.74040
267 1007.32330
268 1011.90830
269 1016.49540
270 1021.08460
271 1025.67580
272 1030.26910
273 1034.86450
274 1039.46180
275 1044.06120
276 1048.66260
277 1053.26590
278 1057.87120
279 1062.47850
280 1067.08770
281 1071.69880
282 1076.31180
283 1080.92680
284 1085.54360
285 1090.16230
286 1094.78280
287 1099.40520
288 1104.02950
289 1108.65550
290 1113.28340
291 1117.91310
292 1122.54460
293 1127.17780
294 1131.81280
295 1136.44960
296 1141.08820
297 1145.72840
298 1150.37040
299 1155.01410
300 1159.65950
301 1164.30670
302 1168.95550
303 1173.60590
304 1178.25810
305 1182.91190
306 1187.56740
307 1192.22450
308 1196.88320
309 1201.54360
310 1206.20560
311 1210.86920
312 1215.53440
313 1220.20120
314 1224.86950
315 1229.53950
316 1234.21100
317 1238.88410
318 1243.55880
319 1248.23500
320 1252.91270
