# Partition function for "H212C16O (126)".
# Temperature range: 70-3000K.
#T,K           Q(T)
 160            1045.102429
 162            1064.740943
 164            1084.511792
 166            1104.388509
 168            1124.397561
 170            1144.512481
 172            1164.759736
 174            1185.139326
 176            1205.624784
 178            1226.242577
 180            1246.966238
 182            1267.795767
 184            1288.757631
 186            1309.851830
 188            1331.025430
 190            1352.357832
 192            1373.769635
 194            1395.313773
 196            1416.963779
 198            1438.746120
 200            1460.634329
 202            1482.628406
 204            1504.754818
 206            1526.987098
 208            1549.325246
 210            1571.795729
 212            1594.372080
 214            1617.054299
 216            1639.842386
 218            1662.762808
 220            1685.789098
 222            1708.947723
 224            1732.185749
 226            1755.556110
 228            1779.058806
 230            1802.640903
 232            1826.355335
 234            1850.202102
 236            1874.128270
 238            1898.186773
 240            1922.351144
 242            1946.621383
 244            1971.023957
 246            1995.532399
 248            2020.146709
 250            2044.893354
 252            2069.745867
 254            2094.730715
 256            2119.821431
 258            2145.018015
 260            2170.346934
 262            2195.808188
 264            2221.348843
 266            2247.021833
 268            2272.827158
 270            2298.738351
 272            2324.781879
 274            2350.931275
 276            2377.213006
 278            2403.627072
 280            2430.147006
 282            2456.772808
 284            2483.530945
 286            2510.421417
 288            2537.417757
 290            2564.572899
 292            2591.807442
 294            2619.200787
 296            2646.700000
 298            2674.331548
 300            2702.095431
 302            2729.991649
 304            2757.993735
 306            2786.154623
 308            2814.421379
 310            2842.820470
 312            2871.351896
 314            2900.042124
 316            2928.838220
 318            2957.766651
 320            2986.827417
 322            3016.046985
 324            3045.372421
 326            3074.856659
 328            3104.473232
 330            3134.222140
 332            3164.129850
 334            3194.169895
 336            3224.342275
 338            3254.646990
 340            3285.110507
