# Partition Function.
# Temperature range: 160-320 K 
#T,K     Q(T)

160    1884.759107
162    1919.341186
164    1954.147484
166    1989.178000
168    2024.427963
170    2059.902145
172    2095.595774
174    2131.523162
176    2167.669999
178    2204.041053
180    2240.641096
182    2277.465358
184    2314.518608
186    2351.800847
188    2389.312075
190    2427.052291
192    2465.021497
194    2503.219691
196    2541.651644
198    2580.312587
200    2619.207289
202    2658.335750
204    2697.697970
206    2737.289180
208    2777.118919
210    2817.182418
212    2857.484447
214    2898.020235
216    2938.789783
218    2979.797860
220    3021.049238
222    3062.534376
224    3104.258044
226    3146.225012
228    3188.430510
230    3230.879309
232    3273.566638
234    3316.497267
236    3359.666426
238    3403.083657
240    3446.744188
242    3490.648020
244    3534.795152
246    3579.190356
248    3623.833631
250    3668.720206
252    3713.854853
254    3759.237571
256    3804.868360
258    3850.747220
260    3896.878922
262    3943.258695
264    3989.891310
266    4036.771996
268    4083.905524
270    4131.291894
272    4178.935876
274    4226.827930
276    4274.977595
278    4323.380103
280    4372.040223
282    4420.953185
284    4470.128530
286    4519.556716
288    4569.242515
290    4619.185927
292    4669.391721
294    4719.855128
296    4770.600000
298    4821.564320
300    4872.810105
302    4924.318273
304    4976.088824
306    5028.121759
308    5080.421846
310    5132.984317
312    5185.809171
314    5238.901178
316    5292.260339
318    5345.886654
320    5399.775352
